Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
108,,,,,,,2.05E-06,2.18E-06,,,,,,1.43E-06,,1.32E-06,,,,,
109,,,,,,,2.05E-06,,,,,,,1.35E-06,,1.32E-06,,,,,
110,,,,,,,2.05E-06,,,,,,,1.35E-06,,1.32E-06,,,,,
111,,,,,,,2.05E-06,,,,,,,1.35E-06,,1.32E-06,,,,,
112,,,,,,,2.05E-06,,,,,,,1.16E-06,,1.32E-06,,,,,
113,,,,,,,2.05E-06,,,,,,,1.15E-06,,1.32E-06,,,,,
114,,,,,,,2.05E-06,,,,,,,1.25E-06,,1.32E-06,,,,,
115,,,,,,,2.05E-06,,,,,,,,,1.32E-06,,,,,
116,,,,,,,2.05E-06,,,,,,,,,1.32E-06,,,,,
117,,,,,,,2.05E-06,,,,,,,,,1.32E-06,,,,,
118,,,,,,,2.05E-06,,,,,,,,,1.32E-06,,,,,
119,,,,,,,2.05E-06,,,,,,,,,1.32E-06,,,,,
120,,,,,,,2.05E-06,,,,,,,,,1.32E-06,,,,,
121,,,,,,,2.05E-06,,,,,,,,,1.32E-06,,,,,
122,,,,,,,2.05E-06,,,,,,,,,1.32E-06,,,,,
123,,,,,,,2.05E-06,,,,,,,,,1.32E-06,,,,,
124,,,,,,,2.05E-06,,,,,,,,,1.34E-06,,,,,
125,,,,,,,2.05E-06,,,,,,,,,1.34E-06,,,,,
126,,,,,,,2.05E-06,,,,,,,,,1.34E-06,,,,,
127,,,,,,,2.05E-06,,,,,,,,,1.34E-06,,,,,
128,,,,,,,2.05E-06,,,,,,,,,1.34E-06,,,,,
129,,,,,,,2.05E-06,,,,,,,,,1.34E-06,,,,,
130,,,,,,,2.05E-06,,,,,,,,,1.34E-06,,,,,
131,,,,,,,2.2E-06,,,,,,,,,1.32E-06,,,,,
132,,,,,,,1.99E-06,,,,,,,,,1.32E-06,,,,,
133,,,,,,,1.49E-06,,,,,,,,,1.32E-06,,,,,
134,,,,,,,1.5E-06,,,,,,,,,1.32E-06,,,,,
135,,,,,,,1.5E-06,,,,,,,,,1.32E-06,,,,,
136,,,,,,,,,,,,,,,,1.32E-06,,,,,
137,,,,,,,,,,,,,,,,1.32E-06,,,,,
138,,,,,,,,,,,,,,,,1.32E-06,,,,,
139,,,,,,,,,,,,,,,,1.32E-06,,,,,
140,,,,,,,,,,,,,,,,1.32E-06,,,,,
